Movie_Name,Genres,Revenue,Runtime,Year
Black Panther: Wakanda Forever,Science Fiction,835000000.0,162.0,2022
Puss in Boots: The Last Wish,Fantasy,369105725.0,103.0,2022
Shotgun Wedding,Comedy,4495365.0,101.0,2022
M3GAN,Comedy,158000000.0,102.0,2023
Avatar: The Way of Water,Action,2176000000.0,192.0,2022
Devotion,Drama,20000000.0,139.0,2023
Glass Onion: A Knives Out Mystery,Mystery,13280000.0,140.0,2022
Black Adam,Science Fiction,389000000.0,125.0,2022
Violent Night,Thriller,73000000.0,112.0,2022
Babylon,Comedy,42110960.0,189.0,2023
Prey for the Devil,Thriller,37655699.0,93.0,2022
Plane,Thriller,29000000.0,107.0,2023
Avatar,Science Fiction,2920357254.0,162.0,2009
The Woman King,History,91000000.0,135.0,2023
Roald Dahl's Matilda the Musical,Fantasy,13276499.0,117.0,2022
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy,745013115.0,143.0,2005
Winnie the Pooh: Blood and Honey,Thriller,1000000.0,84.0,2023
Fall,Thriller,16120263.0,107.0,2022
Strange World,Family,60624918.0,102.0,2022
Terrifier 2,Horror,12400000.0,138.0,2022
Knock at the Cabin,Thriller,21000000.0,100.0,2023
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Thriller,503063688.0,117.0,2020
Medieval,Drama,4311284.0,126.0,2022
Top Gun: Maverick,Drama,1488732821.0,131.0,2022
Jurassic World Dominion,Science Fiction,1001000000.0,147.0,2022
Spider-Man: No Way Home,Science Fiction,1916306995.0,148.0,2021
Thor: Love and Thunder,Comedy,760928081.0,119.0,2022
Jeepers Creepers: Reborn,Mystery,5954938.0,88.0,2022
Smile,Thriller,216000000.0,115.0,2022
Dragon Ball Super: Super Hero,Action,86562140.0,99.0,2022
Jujutsu Kaisen 0,Fantasy,195870885.0,105.0,2022
"Lyle, Lyle, Crocodile",Music,79761937.0,106.0,2022
Sonic the Hedgehog 2,Comedy,401800000.0,122.0,2022
Bullet Train,Thriller,239260044.0,126.0,2022
Harry Potter and the Philosopher's Stone,Fantasy,976475550.0,152.0,2001
Doctor Strange in the Multiverse of Madness,Adventure,964091059.0,126.0,2022
Monstrous,Thriller,138450.0,89.0,2022
The Whale,Drama,11096765.0,117.0,2022
Beast,Horror,56000000.0,93.0,2022
Encanto,Fantasy,253000000.0,102.0,2021
Minions: The Rise of Gru,Family,939628210.0,87.0,2022
The Batman,Thriller,770836163.0,177.0,2022
Puss in Boots,Western,554987477.0,90.0,2011
Turning Red,Fantasy,18879922.0,100.0,2022
Sing 2,Family,406000000.0,110.0,2021
Orphan: First Kill,Thriller,9572765.0,99.0,2022
Avengers: Infinity War,Science Fiction,2046239637.0,149.0,2018
Shrek,Family,487853320.0,90.0,2001
Uncharted,Adventure,401748820.0,116.0,2022
The Quintessential Quintuplets Movie,Romance,17288993.0,136.0,2022
DC League of Super-Pets,Science Fiction,203000000.0,105.0,2022
A Man Called Otto,Drama,83000000.0,126.0,2023
Harry Potter and the Goblet of Fire,Family,895921036.0,157.0,2005
Titanic,Romance,2187463944.0,194.0,2012
Piggy,Horror,380512.0,100.0,2022
After Ever Happy,Drama,12467270.0,95.0,2022
Harry Potter and the Half-Blood Prince,Fantasy,933959197.0,153.0,2009
Harry Potter and the Chamber of Secrets,Fantasy,876688482.0,161.0,2002
X,Thriller,14779858.0,106.0,2022
My Hero Academia: World Heroes' Mission,Science Fiction,38410729.0,105.0,2021
The Menu,Thriller,76849419.0,107.0,2022
The Black Phone,Thriller,161000000.0,103.0,2022
Harry Potter and the Prisoner of Azkaban,Fantasy,789804554.0,141.0,2004
Black Panther,Science Fiction,1347597973.0,135.0,2018
Fantastic Beasts: The Secrets of Dumbledore,Action,405161334.0,142.0,2022
Scream,Thriller,140041405.0,114.0,2022
Harry Potter and the Order of the Phoenix,Mystery,938212738.0,138.0,2007
The Invitation,Thriller,33628000.0,105.0,2022
Fifty Shades of Grey,Thriller,571006128.0,125.0,2015
Interstellar,Science Fiction,701729206.0,169.0,2014
Venom: Let There Be Carnage,Adventure,506863592.0,97.0,2021
Hacksaw Ridge,War,175302354.0,139.0,2017
The Conjuring: The Devil Made Me Do It,Thriller,201000000.0,111.0,2021
Everything Everywhere All at Once,Science Fiction,105125007.0,140.0,2022
Fifty Shades Freed,Romance,368307760.0,105.0,2018
Harry Potter and the Deathly Hallows: Part 2,Adventure,1341511219.0,130.0,2011
The Lost City,Comedy,190844029.0,112.0,2022
Shrek 2,Romance,928760770.0,93.0,2004
The Banshees of Inisherin,Comedy,19826461.0,114.0,2023
The Battle at Lake Changjin: Water Gate Bridge,Drama,626203271.0,149.0,2022
The Jack in the Box: Awakening,Horror,195189.0,89.0,2022
Laid-Back Camp The Movie,Comedy,7283918.0,121.0,2022
Harry Potter and the Deathly Hallows: Part 1,Fantasy,954305868.0,146.0,2010
The Northman,Fantasy,69633110.0,137.0,2022
Morbius,Fantasy,161000000.0,105.0,2022
Blade Runner 2049,Drama,259239658.0,164.0,2017
Take the Lead,Drama,65742992.0,108.0,2006
John Wick: Chapter 2,Crime,171539887.0,122.0,2017
Lightyear,Science Fiction,226400000.0,105.0,2022
Shang-Chi and the Legend of the Ten Rings,Fantasy,432243292.0,132.0,2021
Shrek Forever After,Family,752600867.0,93.0,2010
Moonfall,Science Fiction,59100000.0,130.0,2022
Sonic the Hedgehog,Family,306766470.0,99.0,2020
"Monsters, Inc.",Family,579707738.0,92.0,2001
The Maze Runner,Thriller,348319861.0,113.0,2014
The Seven Deadly Sins: Cursed by Light,Fantasy,1094673.0,79.0,2021
Top Gun,Drama,356830601.0,110.0,1986
The Avengers,Adventure,1518815515.0,143.0,2012
The Shawshank Redemption,Crime,28341469.0,142.0,2021
Coco,Adventure,800526015.0,105.0,2017
The Call of the Wild,Drama,111105497.0,100.0,2020
The Boss Baby: Family Business,Family,146745280.0,107.0,2021
Watcher,Horror,2667033.0,96.0,2022
Zack Snyder's Justice League,Science Fiction,657900000.0,242.0,2021
Avengers: Endgame,Action,2797800564.0,181.0,2019
Shrek the Third,Family,813367380.0,93.0,2007
Cruella,Crime,233503234.0,134.0,2021
Memory,Crime,11300000.0,114.0,2022
The Suicide Squad,Adventure,168657565.0,132.0,2021
Chappie,Science Fiction,104399548.0,,2015
The Matrix,Science Fiction,463517383.0,136.0,1999
RRR,Drama,160000000.0,187.0,2022
John Wick: Chapter 3 - Parabellum,Crime,326709727.0,130.0,2019
Mortal Kombat,Adventure,83601013.0,110.0,2021
I Am Number Four,Adventure,149878437.0,109.0,2011
The Bad Guys,Comedy,248000000.0,100.0,2022
Eternals,Adventure,402064899.0,156.0,2021
Ratatouille,Fantasy,623726000.0,111.0,2007
A Quiet Place Part II,Horror,297372261.0,97.0,2021
Halloween Ends,Thriller,103000000.0,111.0,2022
Sword Art Online the Movie -Progressive- Aria of a Starless Night,Science Fiction,14037060.0,97.0,2022
Cars 2,Comedy,559852396.0,106.0,2011
Luca,Fantasy,49010641.0,95.0,2021
Dragon Ball Z: Resurrection 'F',Science Fiction,61768190.0,93.0,2015
Tangled,Family,592461732.0,100.0,2010
Cars 3,Family,383925276.0,102.0,2017
Resident Evil: Welcome to Raccoon City,Action,38600612.0,107.0,2021
How to Train Your Dragon: The Hidden World,Adventure,517526875.0,104.0,2019
The Croods: A New Age,Comedy,168285000.0,95.0,2020
F9,Thriller,726229501.0,143.0,2021
After,Drama,69497587.0,106.0,2019
What Men Want,Romance,69766483.0,117.0,2019
Dog,Comedy,77263354.0,102.0,2022
After We Fell,Drama,21500000.0,99.0,2021
The Wolf of Wall Street,Comedy,392000000.0,,2014
Toy Story,Comedy,373554033.0,81.0,1995
Ice Age,Adventure,383257136.0,81.0,2002
Wrath of Man,Thriller,103966489.0,119.0,2021
After We Collided,Drama,42000000.0,105.0,2020
Pirates of the Caribbean: On Stranger Tides,Fantasy,1045713802.0,137.0,2011
Decision to Leave,Romance,16914773.0,138.0,2022
Me Before You,Romance,207945075.0,110.0,2016
Creed II,Action,214215889.0,130.0,2018
The Lion King,Drama,763455561.0,89.0,1994
The Godfather,Crime,245066411.0,175.0,2022
You Won't Be Alone,Drama,125000.0,109.0,2022
One Piece Film Red,Fantasy,150797338.0,115.0,2022
Godzilla vs. Kong,Science Fiction,470067014.0,114.0,2021
Deadpool,Comedy,783100000.0,108.0,2016
The Godfather Part III,Thriller,136766062.0,170.0,2008
Clifford the Big Red Dog,Fantasy,67000000.0,97.0,2021
Avengers: Age of Ultron,Science Fiction,1405403694.0,141.0,2015
Fifty Shades Darker,Romance,378827494.0,118.0,2017
The Conjuring,Thriller,319494638.0,112.0,2013
The Last: Naruto the Movie,Animation,19840000.0,114.0,2014
Dune,Adventure,400671789.0,155.0,2021
Black Widow,Science Fiction,379751655.0,134.0,2021
Your Name.,Drama,357986087.0,106.0,2016
The Lord of the Rings: The Fellowship of the Ring,Action,871368364.0,179.0,2001
The Princess and the Frog,Animation,270997378.0,98.0,2009
PAW Patrol: The Movie,Comedy,144327371.0,86.0,2021
The Twilight Saga: Eclipse,Romance,698491347.0,124.0,2010
Big Hero 6,Comedy,657827828.0,102.0,2014
The Matrix Resurrections,Adventure,156497322.0,147.0,2021
Fast & Furious Presents: Hobbs & Shaw,Comedy,760098996.0,137.0,2019
Iron Man 2,Science Fiction,623933331.0,124.0,2010
Red Notice,Thriller,178143.0,118.0,2021
Home Alone 2: Lost in New York,Adventure,358994850.0,,1992
Boruto: Naruto the Movie,Comedy,39500000.0,95.0,2015
Emergency Declaration,Thriller,19200000.0,140.0,2022
Ted 2,Fantasy,215863606.0,115.0,2015
Grown Ups 2,Comedy,247022278.0,101.0,2013
The Tomorrow War,Adventure,19220000.0,138.0,2021
Ghostbusters: Afterlife,Adventure,191000000.0,124.0,2021
Ant-Man,Adventure,519311965.0,117.0,2015
Coraline,Fantasy,124600000.0,100.0,2009
The Twilight Saga: Breaking Dawn - Part 2,Romance,829747654.0,115.0,2012
The Lucky One,Romance,99357138.0,101.0,2012
Pirates of the Caribbean: The Curse of the Black Pearl,Action,655011224.0,143.0,2003
The Twin,Mystery,492000.0,109.0,2022
The Hunger Games: Mockingjay - Part 1,Thriller,755356711.0,123.0,2014
The Green Mile,Crime,286801374.0,189.0,2000
Pathaan,Thriller,101000000.0,146.0,2023
Twilight,Romance,393616788.0,122.0,2008
The Little Mermaid,Fantasy,211343479.0,83.0,1989
American Sniper,Action,542307423.0,133.0,2015
The Addams Family 2,Horror,119815153.0,93.0,2021
Men,Fantasy,7168717.0,100.0,2022
Naruto Shippuden the Movie,Fantasy,10000000.0,94.0,2007
Up,Adventure,735099082.0,96.0,2009
The Fabelmans,Drama,28190555.0,151.0,2023
The Fate of the Furious,Thriller,1238764765.0,136.0,2017
Dragon Ball Z: Broly – The Legendary Super Saiyan,Action,21658982.0,70.0,1993
Spider-Man: Into the Spider-Verse,Science Fiction,375540831.0,117.0,2018
John Wick,Thriller,88761661.0,101.0,2014
Toy Story 2,Family,497366869.0,92.0,1999
Spider-Man: Homecoming,Drama,880166924.0,133.0,2017
Nope,Thriller,170823080.0,130.0,2022
Barbarian,Thriller,44422431.0,103.0,2022
World War Z,Thriller,531865000.0,116.0,2013
Pirates of the Caribbean: At World's End,Action,961000000.0,169.0,2007
Captain America: Civil War,Science Fiction,1153337496.0,147.0,2016
Fury,Action,211817906.0,135.0,2014
Frozen,Fantasy,1274219009.0,102.0,2013
Legion,Fantasy,67918658.0,100.0,2010
Hercules,Romance,252712101.0,93.0,1997
The Amazing Spider-Man,Fantasy,757930663.0,136.0,2012
The Addams Family,Horror,203044905.0,86.0,2019
Inside Out,Comedy,857611174.0,95.0,2015
The Hobbit: The Battle of the Five Armies,Fantasy,956019788.0,144.0,2014
Transformers: Age of Extinction,Adventure,1104054072.0,165.0,2014
Sex and Zen,Romance,396003.0,99.0,1991
Paws of Fury: The Legend of Hank,Western,41800000.0,98.0,2022
Bloodshot,Science Fiction,39861118.0,110.0,2020
Frozen II,Fantasy,1450026933.0,103.0,2019
Finding Nemo,Family,940335536.0,100.0,2003
The Amazing Spider-Man 2,Fantasy,708962323.0,141.0,2014
The Help,Drama,216639112.0,146.0,2011
Free Guy,Science Fiction,331096766.0,115.0,2021
Jurassic World: Fallen Kingdom,Thriller,1310466296.0,129.0,2018
The Conjuring 2,Thriller,320392818.0,134.0,2016
Inception,Adventure,825532764.0,148.0,2010
Tinker Bell and the Pirate Fairy,Family,20300000.0,78.0,2014
The King's Man,Mystery,125928656.0,131.0,2021
Mulan,Adventure,304320254.0,88.0,1998
Bones and All,Horror,14134907.0,131.0,2022
Old,Horror,90112510.0,108.0,2021
The Twilight Saga: Breaking Dawn - Part 1,Romance,712171856.0,117.0,2011
Ant-Man and the Wasp,Science Fiction,622674139.0,119.0,2018
Spider-Man,Action,821708551.0,121.0,2002
Furious 7,Crime,1515047671.0,137.0,2015
Zootopia,Comedy,1023784195.0,109.0,2016
Countdown,Thriller,48021766.0,90.0,2019
Wonder Woman 1984,Fantasy,165160005.0,151.0,2020
Doctor Strange,Fantasy,677796076.0,115.0,2016
Kama Sutra: A Tale of Love,Romance,4109095.0,117.0,1997
xXx: Return of Xander Cage,Crime,346147658.0,107.0,2017
The Contractor,Thriller,2122288.0,103.0,2022
San Andreas,Thriller,473990832.0,114.0,2015
Ambulance,Crime,51783040.0,136.0,2022
Spider-Man: Far from Home,Science Fiction,1131927996.0,129.0,2019
Trial by Fire,Crime,130000.0,127.0,2019
Cinderella,Romance,263591415.0,74.0,1950
Grown Ups,Comedy,271430189.0,102.0,2010
Thor: Ragnarok,Comedy,853977126.0,131.0,2017
2012,Science Fiction,791217826.0,158.0,2009
Don't Worry Darling,Science Fiction,86669039.0,123.0,2022
Raya and the Last Dragon,Adventure,130000000.0,107.0,2021
Charlie and the Chocolate Factory,Fantasy,474968763.0,115.0,2005
Transformers: The Last Knight,Science Fiction,605425157.0,154.0,2017
The Lion King,Family,1667635327.0,118.0,2019
Dragon Ball Z: Wrath of the Dragon,Science Fiction,24000000.0,,1995
Jungle Cruise,Fantasy,220889446.0,127.0,2021
Triangle of Sadness,Drama,15100000.0,147.0,2022
Joker,Drama,1074251311.0,122.0,2019
Howl's Moving Castle,Adventure,236049757.0,119.0,2004
Space Jam: A New Legacy,Science Fiction,162892228.0,115.0,2021
Elvis,History,286000000.0,159.0,2022
The Witch: Part 2. The Other One,Science Fiction,23000000.0,137.0,2022
Terminator Genisys,Adventure,440603537.0,126.0,2015
The Last Warrior: Root of Evil,Comedy,27658331.0,,2021
Jurassic World,Thriller,1671713208.0,124.0,2015
The Parent Trap,Family,92108518.0,128.0,1998
Thor,Action,449326618.0,115.0,2011
My Hero Academia: Heroes Rising,Adventure,29900850.0,104.0,2020
Pirates of the Caribbean: Dead Man's Chest,Action,1065659812.0,151.0,2006
Spirited Away,Fantasy,274925095.0,125.0,2001
The Hunchback of Notre Dame,Family,325338851.0,91.0,1996
Forrest Gump,Romance,677387716.0,142.0,2018
Aftersun,Drama,3700000.0,102.0,2023
Real Steel,Drama,299268508.0,127.0,2011
Taken 3,Action,325771424.0,109.0,2015
Godzilla,Science Fiction,529076069.0,123.0,2014
The SpongeBob Movie: Sponge on the Run,Comedy,4700000.0,95.0,2020
Mean Girls,Comedy,130126277.0,97.0,2004
The Remaining,Horror,1169603.0,88.0,2014
Venom,Action,855013954.0,112.0,2018
The Requin,Horror,130493.0,89.0,2022
Percy Jackson & the Olympians: The Lightning Thief,Family,226497209.0,118.0,2010
Beauty and the Beast,Fantasy,424967620.0,84.0,1991
The Lord of the Rings: The Return of the King,Action,1118888979.0,201.0,2003
The Unholy,Mystery,30833138.0,99.0,2021
Roald Dahl's The Witches,Horror,26900000.0,106.0,2020
Spider-Man 3,Adventure,890871626.0,139.0,2007
Ready Player One,Action,582890172.0,140.0,2018
Star Wars,Science Fiction,775398007.0,121.0,1997
Teenage Mutant Ninja Turtles,Comedy,485004754.0,101.0,2014
The Hangover,Comedy,469310836.0,100.0,2009
Knives Out,Mystery,309232797.0,131.0,2019
Iron Man,Adventure,585174222.0,126.0,2008
Addams Family Values,Fantasy,48919043.0,94.0,1993
Ice Age: Dawn of the Dinosaurs,Adventure,886686817.0,94.0,2009
Fantastic Beasts and Where to Find Them,Fantasy,809342332.0,132.0,2016
Dragon Ball Z: Battle of Gods,Science Fiction,50461371.0,85.0,2013
The Shack,Fantasy,92924405.0,132.0,2017
Blacklight,Thriller,15400000.0,104.0,2022
Scary Movie,Comedy,278019771.0,88.0,2000
The Nun,Thriller,365550119.0,96.0,2018
Soul,Drama,136384442.0,101.0,2020
The Grandmother,Horror,1817696.0,101.0,2022
The Truman Show,Drama,264118201.0,103.0,1998
The Dark Knight,Thriller,1004558444.0,152.0,2008
The Evil Dead,Horror,29400000.0,85.0,1981
Kung Fu Panda,Comedy,631744560.0,90.0,2008
It Chapter Two,Fantasy,473122525.0,169.0,2019
Cinderella,Drama,543514353.0,105.0,2015
Train to Busan,Action,87547518.0,118.0,2016
My Hero Academia: Two Heroes,Fantasy,31478826.0,96.0,2018
Toy Story 4,Fantasy,1073394593.0,100.0,2019
The Nightmare Before Christmas,Family,75634409.0,76.0,1993
Terminator 2: Judgment Day,Science Fiction,520000000.0,137.0,1991
TÁR,Music,5250783.0,158.0,2023
The Roundup,Crime,100130688.0,106.0,2022
Dragon Ball Z: Broly – Second Coming,Science Fiction,24200000.0,,1994
Fight Club,Comedy,100853753.0,139.0,1999
Brothers,War,43318349.0,105.0,2010
American Wedding,Romance,231449203.0,103.0,2003
Jumanji: The Next Level,Fantasy,800059707.0,123.0,2019
Split,Thriller,278454358.0,117.0,2016
How to Train Your Dragon 2,Family,621537500.0,102.0,2014
No Time to Die,Thriller,774153007.0,163.0,2021
Hidden Figures,History,235956898.0,127.0,2017
Madagascar,Comedy,542063846.0,86.0,2005
How to Train Your Dragon,Family,494878759.0,98.0,2010
A Quiet Place,Science Fiction,340952971.0,91.0,2018
Good Will Hunting,Drama,225933435.0,127.0,1997
Cars,Family,461983149.0,117.0,2006
Bad Boys for Life,Crime,426505244.0,124.0,2020
Wrong Turn,Thriller,3777969.0,110.0,2021
Kung Fu Panda 3,Family,521170825.0,95.0,2016
The Hobbit: An Unexpected Journey,Action,1021103568.0,169.0,2012
Creed,Action,173567581.0,133.0,2015
The Notebook,Drama,115603229.0,123.0,2004
The Penitent Thief,Drama,23800.0,93.0,2020
Toy Story 3,Comedy,1066969703.0,103.0,2010
The Lord of the Rings: The Two Towers,Action,926287400.0,179.0,2002
The Outfit,Thriller,4026709.0,105.0,2022
Tarzan,Drama,448191819.0,88.0,1999
Wrong Turn,Thriller,28650575.0,84.0,2003
